"alpha0","beta0","rho","clus","rr","trt_mod","out_mod","unbal","beta4","true.rd","dgm","prev","rate","correlation","design","true.effect","NCluster","ClusterSize"
-1.499,-0.63,0,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,123,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,124,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,125,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,126,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,127,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,128,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,129,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,130,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,131,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,132,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,133,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,134,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,135,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",1,"random intercept","random intercept",0.2,0,0,136,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",1,"random intercept","random intercept",0.2,0,0,137,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",1,"random intercept","random intercept",0.2,0,0,138,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
